fipstate,fipscty,naics,empflag,emp_nf,emp,qp1_nf,qp1,ap_nf,ap,est,n1_4,n5_9,n10_19,n20_49,n50_99,n100_249,n250_499,n500_999,n1000,n1000_1,n1000_2,n1000_3,n1000_4,censtate,cencty,TREAT,TOT_EMP,CT_POP
8,1,493///,,H,1776,H,19664,H,80614,58,14,13,11,11,3,6,0,0,0,0,0,0,0,84,1,0,158046,490443
8,1,493///,H,,3701,H,39636,H,164635,64,20,11,14,9,3,3,N,3,N,N,N,N,N,84,1,1,158046,517421
9,3,493///,,H,4151,H,43902,H,166423,44,14,6,7,6,2,3,3,3,0,0,0,0,0,16,3,0,442655,897407
9,3,493///,,H,4723,H,46509,H,195552,40,12,5,4,6,3,3,5,N,N,N,N,N,N,16,3,1,462623,892580
12,57,493///,,G,1598,G,20031,G,79299,66,19,12,12,16,4,3,0,0,0,0,0,0,0,59,57,0,521470,1279639
12,57,493///,,H,3693,H,44985,H,204041,68,18,16,14,10,5,3,0,1,1,0,1,0,0,59,57,1,587224,1396693
6,37,493///,,G,15429,G,179129,G,720537,497,149,101,83,95,38,21,5,5,0,0,0,0,0,93,37,0,3932904,10040072
6,37,493///,,G,19877,G,250704,G,995144,590,199,112,89,101,45,28,11,5,N,N,N,N,N,93,37,1,3869073,10073906
12,105,493///,,G,5024,G,48909,G,199921,41,6,6,4,9,5,3,5,3,0,0,0,0,0,59,105,0,165086,615453
12,105,493///,,G,5464,G,53113,G,221929,47,11,6,3,8,7,6,3,3,0,0,0,0,0,59,105,1,181761,665823
6,77,493///,,G,5886,G,58296,G,236983,66,13,8,10,12,10,7,5,0,1,0,1,0,0,93,77,0,159882,694354
6,77,493///,,G,7751,G,80619,G,377309,79,12,6,18,15,13,6,7,1,1,0,1,0,0,93,77,1,173611,722271
6,95,493///,,J,792,J,8338,J,37661,19,4,4,7,2,0,1,1,0,0,0,0,0,0,93,95,0,107550,433409
6,95,493///,,G,958,G,11559,G,46084,26,8,3,6,6,N,N,N,N,N,N,N,N,N,93,95,1,116890,447643
6,99,493///,,G,1529,G,15071,G,65631,23,6,4,5,5,0,1,1,1,0,0,0,0,0,93,99,0,122473,517560
6,99,493///,,G,2139,G,24442,G,95408,31,7,6,3,7,3,2,2,1,0,0,0,0,0,93,99,1,135488,533211
